Title,Director,Cast,Genre,Year
Fall Of Raigad a.k.a. Raktacha Sood (Lohini Vasulat),P. S. Talegiri,"Gangoobai, Jairam Desai, Sunder Rao Nadkarni, V. S. Bapat, Wamanrao Kulkarni, Baburao Gade, Dattopant Sohoni",Costume Historical,1930
Fatal Arrow a.k.a. Khooni Teer,A. P. Kapoor,"Nandram, Zebunisa, Sankatha Prasad, Promoth Bose, Joshi",Fantasy,1930
Father India a.k.a. Hamara Hindustan,R. S. Choudhary,"Sulochana (Ruby Myers), Jal Merchant, Mazhar Khan, Mehtab, Madanrai Vakil, Jilloobai, Jamshedji",Social,1930
Fight Up to Death,Nagendra Majumdar,"P. Jairaj, Madhuri, Bhaduri, Kale",Costume,1930
Fighting Chevalier,H. Desai,"Jena, Bhakre, Roshan, Patel",Action,1930
Flames Of Flesh a.k.a. Kamonar Agun,Dhiren Ganguly,"Debaki Bose, Dhiren Ganguly, Radharani and Sabita Devi",Historical,1930
Flogged Into Love a.k.a. Chabuk Ne Chamkare,Baburao,"Zebunisa, Bachchu, Baburao Gade, Zhunzharrao Pawar",Costume,1930
Gambler a.k.a. Jugal Jugari,Fram Sethna,"Jamuna, Baburao Apte, Miss Jones, Heera, Raja Babu",Social,1930
Ganesh Janma,Jal Ariah,"Patience Cooper, Indira Devi",Religious,1930
Glittering Sword a.k.a. Tati Talwar,Kanjibhai Rathod,"Gulab, Haidershah, Durga, Pahelwan, Vishnu, Wamanrao",Costume,1930
Glory Of India a.k.a. Noor-E-Watan,Jayant Desai,"Inamdar, Sultana, Manilal, Baba Vyas, Shanti, Thatte",Historical,1930
Goddess Of War a.k.a. Ranchandi,Homi Master,"Khalil, Jamna, Kumar, Panna, Thomas",Costume,1930
Gulnar,D. A. Dandekar,,,1930
Himmat-E-Mard a.k.a. Dare Devil,Prafulla Ghosh,"Rampyari, Haidershah, Abdul Pahelwan, Arab Sandow",Action,1930
Hamara Hindustan a.k.a. Father India,R. S. Choudhary,"Jal Merchant, Mazhar Khan, Mehtab, Ruby Myers, Madanrai Vakil, Jillobai, Jamshedji",Social,1930
Jai Vijay,N. D. Sarpotdar,"Durga Koregaonkar, P. N. Varne, Das, Meera",,1930
Jawan Mard a.k.a. Dashing Hero,Jayant Desai,"Baburao Sansare, Putli, Manilal",,1930
Kal Parinaya a.k.a. Fatal Marriage,P. N. Ganguly,"Seeta Devi, Patience Cooper, Dhiraj Bhattacharya, Naresh Mitra, Shanti Gupta, Sudhir Sanyal, Rajhans, Prakash Mani, Kartik Dey, Bhanu Bannerjee",Social,1930
Kamale Shamshir,Gharekhan,"W. M. Khan, Mehtab",Costume,1930
Lanka Dahan a.k.a. The Burning of Lanka,R. Prakasa,"Devaki, M. V. Raju, T. S. Mani",Mythology,1930
Khooni Khanjar a.k.a. Fighting Blade,"V. Shantaram, Keshavrao Dhaiber","G.R. Mane, Sakribai, Ganpat Shinde, Bhosle, Vasant, Jai, Vijaya",Costume Action,1930
Kindred Of The Dust a.k.a. Soneri Khanjar,Harshadrai Mehta,"Navinchandra, Prabhashankar, Dorothy, Kamla, Lobo, Ata Mohammed, Datar, Vasant Mengle, Fazlu",Action,1930
Laughing Chevalier,Harshadrai Mehta,"Navinchandra, Prabhashankar, Mumtaz",Action Costume,1930
Lekh Par Mekh a.k.a. Destiny Defied,Homi Master,"Noor Mohammed, Heera, Thomas, Panna, Ganibabu",,1930
Lions Claw a.k.a. Sinh No Panja,Pesi Karani,"Zubeida, Nandram, Zebu, Asooji, Balabhai, Pramoth Bose",Action,1930
Love Angle,Jayant Desai,"Zubeida, Inamdar.",Social,1930
Magic Flame a.k.a. Madhbhar Mohini,Nanubhai Vakil,"Putli, Baburao Sansare",Fantasy,1930
My Darling a.k.a. Diwani Dilbar,Chandulal Shah,"Dinshaw Bilimoria, Gohar Mamajiwala, Baburao Sansare, Baba Vyas, Thatte",Costume,1930
Orphan Daughter a.k.a. Anathai Penn,Raja Sandow,"Raja Sandow, Leela, Hiroji",,1930
Outlaw Of Sorath a.k.a. Sora Thi Baharvatiyo,Nanubhai Vakil,"Inamdar, Putli, Bhagwat, Manilal",Legend,1930
Pahadi Kanya a.k.a. Wild Flower,Nandlal Jaswantlal,"Dinshaw Bilimoria, Gohar, Kamla, Baba Vyas, Thatte",,1930
Parchasar,Debaki Bose,"Dhirendranath Gangopadhyay, Radharani Nehru, Prem Kumari",Mythology,1930
Patal Padmini a.k.a. Beauty From Hell,Harshadrai Mehta,"Zebunisa, Nandram, Janibabu, Joshi",Fantasy,1930
Patan Ni Paniari a.k.a. Damsel of Hell,Homi Master,"Bhupatkar, Iqbal, Panna, Ratanshah Sinor",,1930
Patriot a.k.a. Desh Deepak,Nanubhai Vakil,"Putli, Inamdar, Manilal, Damyanti, thatte, Bhagwat",Costume,1930
Prithviraj Samyukta,N. D. Sarpotdar,"Amboo, Balasaheb, Bhagirathi, H. Dhodke",Historical Drama,1930
Raj Kumari a.k.a. The Princess,Ramakant-Gharekhan,"Mumtaz, Ata Mohammed, Navinchandra, Mangle",Costume,1930
Raj Laxmi,Chandulal Shah,"Gohar, Raja Sandow, Ghanashyam, Putli, Baba Vyas",Costume,1930
Raj Mukut a.k.a. Royal Crown,Behram Vasania,"Tara, Ratanshah",Costume,1930
Ram Rahim,K. P. Bhave,"E. Billimoria, Gohar, W. M. Khan, Mazhar Khan, Jagtap",Social,1930
Ranak Devi,"Dhaiber, Nanubhai Vakil","Ishwarlal, Kamla, Baburao Sansare, Bhagwat, Bajar Battoo, Dhaiber, Manilal",Historical,1930
Rani Saheba a.k.a. Her Highness/Bazarbattu,"Chunilal Parekh, V. Shantaram","V. Shantaram, Keshavrao Dhaiber, Baburao Pendharkar, Anant Apte",Children,1930
Radhe Shyam,Madhusudan Samarth,"Laxmi, Bachu, Kamala, K. Rangarao",Mythology,1930
Revenge a.k.a. Intaqam,K. P. Bhave,"E. Billimoria, Sultana, Mazhar Khan, W. M. Khan, Baburao Sansare, Madanrai Vakil",Action,1930
Rogue Of Rajasthan a.k.a. Mewad No Mawali,Madanrai Vakil,"E. Billimoria, Nirasha, Mehboob Khan",Action Historical,1930
Romances Of Radha a.k.a. Rasili Radha,Nanubhai Vakil,"D. Billimoria, Ishwarlal, Shanta Kumari, Thatte",Social,1930
Rose Of Komalner a.k.a. Komalner Ni Kusum,Dhirubhai Desai,"Jani Babu, Prabha Shankar, Lobo",Action,1930
Royal Rivals a.k.a. Nai Roshni,Bhagwati Mishra,"Ermeline, Jal Merchant, Yakub, Rajkumari",Costume,1930
Royal Savage a.k.a. Kalika No Kop (1),"Haribhai Desai, Sundarrao Nadkarni","Roshan, Laxmi, Miss Jena, Zhunzharrao Pawar, Baby Gabroo, Ganpat Bakre, Baburao Gade",Costume,1930
The Arabian Knight a.k.a. Sher-E-Arab,Bhagwati Mishra,"Prithviraj Kapoor, Dewan Sharan, Indira Devi, Jagdish Sethi",Fantasy,1930
the Bomb a.k.a. Vasant Bengali/Bengali Bomb,Pesi Karani,"Ermeline, Jal Merchant, Jilloobai, Zaverbhai",Action,1930
The Comet a.k.a. Dhumketu,Sunderrao Nadkarni,"Sultana, Bachu, Laxmi, Gade",Action,1930
The Conqueror a.k.a. Veer Na Ver,Moti B. Gidwani,Master Vithal Gohar,Action,1930
The Curse a.k.a. Garib ni Hai,Asooji,"Asooji, Joshi, Miss Salu, Sarla",Costume,1930
The Tigress a.k.a. Vifreli Waghan,Nanubhai Vakil,"Ishwarlal, Putli, Bhagwat, Manila",Costume,1930
The Tyrant,Harshadbhai Desai,"Laxmi, Bachchu, Ganpat Bakre, Sharda",Costume,1930
The Valiant a.k.a. Mard Ka Bachcha,Prafulla Ghosh,"Haidar Shah, Rampyari, Abdul Pahelwan",Social,1930
The Web a.k.a. Dev Pech,Moti B. Gidwani,"Master Vithal, Gohar Yakub, Godrej",,1930
Triumph of Love a.k.a. Rasili Rani,Nagendra Majumdar,"Madhuri, P. Jairaj, Mohan",Costume,1930
Udaykal a.k.a. Thunder of the Hills,"V. Shantaram, Keshavrao Dhaiber","V. Shantaram, Kamala Devi, Baburao Pendharkar, Bazar Battoo, G. R. Mane, Ebrahim, Keshavrao Dhaiber",Historical,1930
Valiant Princess,Kanjibhai J. Rathod,"Gulab, Baburao Apte, Noor Mohammed Charlie, Pawar, Ghanshyam,",Costume,1930
Valli Kalyanam a.k.a. Subramanium,G. V. Sane,"Sundarrao Nadkarni, Wamanrao Kulkarni, Gangu",,1930
Veer Rajput,Naval Gandhi,"Zubeida, Jal Khambata, Lovji Lavangia, Rupmati",Costume,1930
Vijay Kumar,H. M. Reddy,"Prithviraj Kapoor, Ermeline, Mazhar Khan, Jamshedji, Khansaheb, Jilloobai",Historical,1930
Vijeta a.k.a. Victor,Gunjal,"Boman Shroff, Jayshree Janki, Sayani Atish, Dwarki",Costume,1930
Wages Of Virtue a.k.a. Satto Na Mad,Harshadrai Mehta,"Jani Babu, Navinchandra, Prabha Shankar, Lobo, Ata Mohammed",Social,1930
Whose Fault a.k.a. Kono Vank,Kanjibhai J. Rathod,"Keshav Narayan Kale, Gulab, Bapurao Apte",,1930
Wronged Wife a.k.a. Rajput Ramani,Pesi Karani,"Nandram, Zebu, Asooji, Joshi, Rajkumari, Kashar Butt",,1930
Yasmina,Prafulla Ghosh,"Rampyari, Abdel Pahelwan, Hydershah, Arab Sandow",Costume,1930
Dagabaaz Dushman,Kantilal Patel,"Yusuf, Gulab",,1931
Dard-E-Jigar a.k.a. Songs of Sorrow,R. N. Vaidya,"Khalil, Nurjahan",,1931
Darkness To Light,Bapsy Sabavala,,,1931
Dhartikamp,Harshadrai Mehta,"Navinchandra, Mohini, Baburao Apte, Nizam, Bhim, Alam Sultan, Lobo, Manilal",,1931
Daulat Ka Nasha,Pesi Irani,"Master Vithal, Khalil, Tarabai, Hadi, Jilloobai, Jamshedji, Makand",Social,1931
Debi Choudhrani,Priyanath Ganguly,"Anupama, Kartik Roy, Naresh Mitra, Rani Sundari, Shyam Mukherjee, Nani",Social,1931
Devi Devyani,Chandulal Shah,"D. Billimoria, Gohar Mamajiwala, Bhagwandas, Keki Adjania, Miss Kamla, Baburao Sansare, Baba Vyas, Sudhir",Mythology,1931
Digvijay,Asooji,"P. Jairaj, Sitara Devi, Gulab",,1931
Dilawar,R. G. Torney,"Master Vithal, Pramila, Mehboob Khan, Lakshmi, Mubarak",,1931
Diler Daku,"JBH Wadia, Homi Wadia","Fatma Jr, Yashwant Dave, Mumtaz",Action,1931
Diwani Duniya,Naval Gandhi,"Thomas, Zubeida",,1931
Draupadi,Bhagwati Prasad Mishra,"Prithviraj Kapoor, Ermeline, Khalil, Jagdish Sethi, Jilloobai, Rustom Irani, Nayampally, Hadi, Elizer",Mythology,1931
Dushman-e-Iman,Homi Master,"Ebrahim, Jamuna, Raja Babu",,1931
Dushman Ki Raat a.k.a. Night of Terror,Balasaheb Yadav,"Nandrekar, Sushila Devi, Balasaheb Yadav, Padmabai",,1931
Eye For An Eye a.k.a. Meethi Chhuri,Madanrai Vakil,"Zubeida, Yakub, Khurshid, Romila, Ghulam Qadir, Sankatha Prasad, Salvi",,1931
Farari a.k.a. Outlaw,Y. D. Sarpotdar,,,1931
Farebi Daku a.k.a. Mysterious Bandit,Abdul Rashid Kardar,"Gul Hamid, Gulzar, Nazir, M. Ismail, Hiralal",Action,1931
Farebi Shahzada,A. R. Kardar,"Gul Hamid, Gulzar, Nazir, M. Ismail, Hiralal",Costume Action,1931
Fauladi Firman a.k.a. Fists of Steel,Baburao,"Wamanrao Kulkarni, Master Bachchu, Jen, Baburao Gade",Action,1931
Gayab-e-Garud a.k.a. Black Eagle,Harilal M Bhatt,"Keki Adjania, Miss Mani, Paro Nag",,1931
Ghar Ki Lakshmi,Kanjibhai Rathod,"Rampyari, M. Gaznavi, Sardar",,1931
Ghulami Zanjeer,,"Haider Shah, Durga, Rafiq Ghaznavi, Manohar",,1931
Ghunghatwali,Nandlal Jaswantlal,"Madhuri, Ishwarlal, Baburao Sansare, Thatte",,1931
Golibar,Bhagwati Mishra,"Prithviraj Kapoor, Ermeline, Mazhar Khan, Romila",,1931
Gulam,Moti B. Gidwani,"Master Vithal, Manorama, Zaverbhai Qaiser",,1931
Gwalan a.k.a. Milkmaid,Nagendra Majumdar,"E. Billimoria, Sultana",,1931
Harishchandra,Kanjibhai Rathod,"Haidar Shah, Neelam, Kashinath, Master Mohammed, Fateh Shah",Mythology,1931
Heer Ranjha,J. P. Advani,"Shanta Kumari, Master Fakir",Legend Romance,1931
Hoor-E-Misar,Prafulla Ghosh,"Zubeida, Master Vithal",,1931
Hoor-E-Roshan,Nanubhai Vakil,"D. Billimoria, Madhuri",,1931
Hridaya Veena,A. P. Kapoor,"P. Jairaj, Zebunissa, Ata Mohammed",,1931
Husn Pari,A. P. Kapoor,"P. Jairaj, Mehtab",,1931
Intaqam,Haribhai Desai,"Manohar, Waman Rao, Jena, Peters, Zhunzharrao Pawar, Baburao Gade",,1931
Iraq Ka Chor,K. P. Bhave,"Sushila, Vasantrao Pehalwan",Costume Action,1931
Jadu-E-Mohabbat a.k.a. Magic of Love,Harshadrai Mehta,"Gulab, Nandram",,1931
Jamai-Babu,Kalipada Das,"Kalipada Dass, Radharani, Pravat Coomar, Sibapada Bhowmick, Amulya Bandhopadhay, Rajen Barooah, Sadhana Devi",Comedy,1931
Kamar Al-Zaman,Gazanfarali Shah,"W. M. Khan, Sultana, Pramila, Mazhar Khan, Cho Cho Lam, Jamshedji, Manorama Sr, Tarabai, Hansraj",Costume,1931
Khooni Katar a.k.a. Golden Dagger,Abdul Rashid Kardar,"Miss Gulzar, Gul Hamid, M. Ismail, Hiralal, Ghulam Qadir, M. Zahoor",Action,1931
Khuda Ki Shaan,Rama Chowdhary,"Sulochana (Ruby Myers), Salvi, Elizer, Sushila, Raghunath, Makanda",,1931
Kismet Ki Hera Pheri,R. L. Shorey,"Haider Shah, Zohrajan, Maqbul, Miss Sardar, Abdul Rashid Kardar, Harold Lewis (Majnu), Hukum Singh, Kamla Devi",Costume,1931
Laila Majnu 1,J. J. Madan,"Jehanara Kajjan, Master Nissar, Shaila",Legend Romance,1931
Laila Majnu 2,Kanjibhai Rathod,"Haider Shah, Rampyari, Rafiq Ghaznavi, Mangle, Fatehsingh, Ali Bux",Legend Romance,1931
Namak Haram Kon a.k.a. A Bid For The Throne,Madanrai Vakil,"Prithviraj Kapoor, Ermiline, Mubarak, Leelavati, Jagdish Sethi, Zaverbhai Qaiser",Costume,1931
Noor Jahan,Ezra Mir,"Mazhar Khan, Vimala, Mubarak, Nayampally, Jamshedji, Hadi, Jilloobai, Zaverbhai",Historical Drama,1931
Pak Daman a.k.a. The Pure,Kanjibhai Rathod,"Rampyari, Haider Shah, Yakbal, Vishnu",,1931
Raj Tilak,Madanrai Vakil,"Mazhar Khan, Ermeline, Mehboob Khan, Rustam Irani, Elizer, Gohar",Costume,1931
Romantic Prince a.k. Meri Jaan,Prafulla Ghosh,"Master Vithal, Zubeida, Yakub, Mehboob Khan, Sankatha Prasad",,1931
Roop Sundari a.k.a. Wages of Sin,,"Sultana, Shahzadi, Zubeida",,1931
Samaj Ka Shikar,M. Gidwani,"Patience Cooper, Gul Hamid, Master Mohan, Sharifa",Social,1931
Satyawadi Raja Harishchandra,J. J. Madan,"Jehanara Kajjan, Mohammed Nawab, Patience Cooper, Sharifa,",Mythology,1931
Sea Goddess a.k.a. Dariani Devangana,Dhirubhai Desai,"Padma Devi, Zebunissa, Chandra Rao Kadam, Pawar, Ata Mohammed",Fantasy,1931
Shakuntala 1,J. J. Madan,"Master Nissar, Jehanara Kajjan, Shehla, Nawab, Sharifa",Mythology,1931
Shakuntala 2,M. Bhavnani,"Zebunissa, Ashraf Khan, Zahiruddin, A. P. Kapoor, Najju Begum, Ranibala, Prabhashankar, Dinkar Bidkar",Mythology,1931
Sher-E-Jawan a.k.a. Dashing Youth,"Ramakant, Gharekhan","Haider Shah, Rampyari, Charlie, Madhukar Gupte, Ghulam Hussain",,1931
Shirin Farhad,J. J. Madan,"Master Nissar, Jehanara Kajjan, Mohamed Hussain, Master Mohan, Sharifa, Abdul Rehman Kabuli",Legend Romance,1931
Shuri Sinha a.k.a. Lioness,Prafulla Ghosh,"Ram Pyari, Haider Shah, Rafiq Ghaznavi, Miss Sardar",,1931
Third Wife,,,Social,1931
Toofan,Bhagwati Mishra,"Prithviraj Kapoor, Ermeline, Fali Merchant",,1931
Toofani Taruni,Bhagwati Prasad Mishra,"Yakub, Ermeline, Jal Merchant, Laxmi",Action,1931
Trapped a.k.a. Farebi Jaal,M. Bhavnani,"Durga Khote, Jal Khambata, Enakshi Rama Rau, Master Vasant, Sushila, Annapurna, Talpade",Social,1931
Veer Abhimanyu,Prafulla Ghosh,"Zubeida, Yakub, Jal Merchant, Baburao Sansare, Mehboob Khan, Sankatha Prasad, Jilloobai",Mythology,1931
Char Chakram,Jayant Desai,"E. Billimoria, Shanta Kumari, Ishwarlal, Kamla Devi, Dixit, Ghory, Keki Adjania",Comedy,1932
Chatra Bakavali,J.J. Madan,"Master Nissar, Jehanara Kajjan, Patience Cooper, Valatoo, Mukhtar Begum, A. R. Kabuli, Shaihla",Fantasy,1932
Chira Kumari,Amar Choudhary,"Amar Choudhary, Rani, Dundari, Radharani, Kshirgopal Mukhopadhyay",,1932
Dagabaz Ashiq,Pesi Karani,"Prithviraj Kapoor, Zohrajan, Mushtari, Baldev Singh, Rustam Poonawala, Jamshedji Khansaheb",Costume,1932
Do Badmash,Jayant Desai,"Shanta Kumari, Dixit, Ghory",Social,1932
Educated Wife,,Patience Cooper,Social,1932
Gul Bakavali,A. P. Kapoor,"Ashraf Khan, Zebunissa, Ranibala, Ghulam Moammed, Prabha Shankar, Najju Begum, Zahiruddin, Kasim Ali",Legend,1932
Gulru Zarina,J. J. Madan,"Master Nissar, Jehanara Kajjan, A. R. Kabuli, Sorabji Kerawala",Fantasy,1932
Hathili Dulhan,J. J. Madan,"Patience Cooper, Leela, Laxmi, Abbas, Shaila, Mukhtar Begum",Social,1932
Heer Ranjha,Abdul Rashid Kardar,"Rafiq Ghaznavi, Shanta Kumari, Anwari, M. Esmail, Master Fakir",Legend Romance,1932
Hind Kesari,Homi Master,"Padma, Sultan Alam, Inamdar",,1932
Hindustan,Sorabji Kerawala,"Rose, Mukhtar Begum, Narbada Shankar",,1932
Indrasabha,J. J. Madan,"Master Nissar, Jehanara Kajjan, Mukhtar Begum, A. R. Kabuli, Violet Cooper, Sylvia Bell, Wilayat Hussain, Pearl, Bira Pahelwan",Fantasy,1932
Sati Madalsa,B. P. Misra,"D. Billimoria, Ermiline, Hadi",Mythology,1932
Sati Savitri,Chandulal Shah,"Gohar Mamajiwala, Tarabai, Kamla, Baburao Sansare, Zafar Khan, Keki Adjania, Ghory, Bhagwandas, Shanta",Mythology,1932
Sati Sone,Madanrai Vakil,"Jamshedji, Mushtari, Boman Shah, Khansaheb, Jilloobai, Hadi, Mukunda",Mythology,1932
Sassi Punnu,"S. R. Apte, Chimanlal Luhar","Baburao Apte, Shivrani Ghosh, Majid, Lobo, Nandram, Athavale, Majumdar, Bhagwandas, Himmatwala, Sushila",Legend Romance,1932
Sheil Bala,Chandulal Shah,"Gohar Mamajiwala, Bhagwandas, Tarabai, Kamla, Baburao Sansare, Zafar Khan, Keki Adjania, Ghory, Shanta, Gangaprasad Pathak",Costume,1932
Shikari,Naval Gandhi,"P. Jairaj, Sita Devi, Jagdish Sethi, Shahzadi, Jal Khambata, Lovji Lavangia, B. Khan, Udwadia",Social,1932
Shravan Kumar,A. R. Kabuli,"Yusuf Effendi, Panna, A. R. Kabuli, Mukhtar Begum",Mythology,1932
Shyam Sunder,Bhal G. Pendharkar,"Shahu Modak, Shanta Apte, Raja Sandow, [], Baburao Apte",Mythology,1932
Subah Ka Sitara,Premankur Atorthy,"K. L. Saigal, Rattanbai, Mazhar Khan, A. M. Shiraji, Sheela, Ansari, Siddiqui, Ali Mir",Costume,1932
Subhadara Haran,Prafulla Ghosh,"Zubeida, Master Bachchu, Yakub, Sankatha Prasad, Jal Merchant, Khatoon, Shivram",Mythological,1932
Toofan Mail,JBH Wadia,"Yashwant Dave, Padma, Narayan Pai, Adi Patel, Manchi Thuthi, JBH Wadia",Action,1932
Vanarsena,Homi Master,"Padma, Vasantrao Pahelwan, Inamdar",,1932
Vanraj Kesari,Harshadrai Mehta,"Navinchandra, Padma, Vasant Bhandari, Baburao Apte, Bhim, Bhagwandas, Lobo",Action,1932
Veer Kunal a.k.a. Son Of Ashoka,"M. Bhavnani, G. Deware","Mubarak, Sunalini Devi, Mehtab, Ashraf Khan, Zahiruddin, Miss Iqbal, Zafar Khan",Historical Drama,1932
Zarina,Ezra Mir,"Zubeida, Jal Merchant, Yakub, Baburao, Nayampally, Sanhatha Prasad, Charlie",Costume,1932
Zinda Lash,Premankur Atorthy,"K. L. Saigal, Mahajabeen, Rani, Bikram Kapoor, Ansari, Hafisji,Hamid, Siddiqui",Costume,1932
Pandav Kaurav,Nanubhai Vakil,"Zubeida, Master Bachchu, Jal Merchant, Khatoon, Mehboob Khan, S. Baburao",Mythology,1933
Pardesi Pritam,Nandlal Jaswantal,"Madhuri, E. Billimoria, Shanta Kumari, Raja Sandow, Keki Adjania, Charubala",Costume,1933
Patit Pawan,Nagendra Majumdar,"Durga Khote, P. Jairaj, Kashinath, Madhukar Gupta, Majumdar, R. Veena, Nurjahan, K. Gore",Religious,1933
Prem Ka Nasha,N. Majumdar,"Sorabji Kerawala, Jehanara Kajjan, Surajram, Kabuli",Social,1933
Premi Pagal,Ezra Mir,"Mehboob Khan, Charlie, Kamlabai, Master Bachchu, Khatoon, Kayam Ali, Asooji",Social,1933
Prithviraj Sanyogita,Narayanrao Sarpotdar,"Padma Devi, Navinchandra, Rafiq Ghaznavi, Kishori, Altekar, Datar",Historical Romance Drama,1933
Puran Bhagat,Debaki Bose,"K. L. Saigal, Uma Shashi, Molina Devi, Tarabai, Kumar, Bikram Kapoor, K. C. Dey, Anwaribai, Ansari",Devotional Biopic,1933
Radha Krishna,"Priyanath Ganguly, Tulsi Lahiri","Sabita Devi, Dhiraj Bhattacharya, Indubala, Amar Chowdhury, Angurbala, Bimal Dasgupta, Kamala Jharia, Lakshmi, K. Mukhopadhyay, Saraswati",Religious,1933
Raja Gopichand,B. M. Shukla,"H. C. Bali, Jaddanbai, Ramkrishna Chaube, Devbala, Ismail, Sita Devi",Legend Drama,1933
Rajrani Meera,Debaki Bose,"K. L. Saigal, Durga Khote, Prithviraj Kapoor, Molina Devi, Pahari Sanyal, Durgadas Bannerjee, Manoranjan Bhattacharya, Amar Mullick, Chandravati Devi, Indubala, Ansari, Siddiqui",Devotional,1933
Ramayana,J. J. Madan,"Leela, Narmada Shankar, Mukhtar Begum, Pyara Saheb",Religious,1933
Rambha Rani,Harshadrai Mehta,"Gauhar Karnataki, Baburao Apte, Shivrani Ghosh, Madhav Kale, Dulari, Amritlal Nagar, Bhim, Chandrika, Himmatlal, Lobo",Legend,1933
Rangila Rajput,M. Bhavnani,"Master Nissar, Bibbo, W. M. Khan, Ameena, Kabuli, Shahzadi, Mariyam",Costume,1933
Roop Basant,A. P. Kapoor,"Zebunissa, Sardar Akhtar, Ghulam Mohammed, Ashraf Khan, Iqbal",Costume,1933
Sairandhari,V. Shantaram,"Master Vinayak, Shakuntala, Leela, Mane, Nimbalkar, Prabhavati, Kulkarni, Salunke",Mythology,1933
Sati Anusuya,Madanrai Vakil,"Mushtari, Jamshedji, Khansaheb, Devaskar, Chanda, Dinkar",Devotional,1933
Sati Mahananda,Baburao Patel,"Padma Devi, Mubarak, Madhukar Gupte, Shirin Banu, Shantaram, Raja Pandit, Kamlavati",Devotional,1933
Saubhagya Sundari,Homi Master,"D. Billimoria, Sulochana (Ruby Myers), Jamshedji, Khansaheb, Jilloobai, Khalil, Hadi, Syed Ahmed, Lakshmi",Costume,1933
Shan-E-Subhan,Faredoon Irani,"Sultana, Aziz, Rauf, Ismail, Agha Jan Kashmiri, Noorjahan, Aga Munne",Costume,1933
Sita Swayamvar,H. M. Reddy,"Padmavati Shaligram, Sundrabai, B. R. Tandon, Haridas, Sitara Devi, Bhagwandas, Tarabai, Vatsala Joshi",Religious,1933
Sohni Mahiwal,Harshadrai Mehta,"Gohar Karnataki, Baburao Apte, Chonker, Shivrani Ghosh, Nizam, Amritlal Nagar, Bhim, Kantilal, Lobo Naibux",Legend Romance,1933
Sulochana a.k.a. Temple Bells,R. S. Choudhary,"Sulochana (Ruby Myers), D. Billimoria, Jilloobai, Ghulam Mohammed, Chanda, Jamshedji, Peerjan, Hadi",Cotume,1933
Surya Kumari,Dhirubhai Desai,"Alaknanda, Ata Mohammed, Udvadia, Gulab, Tarabai, Kashinath, Shankar Rao Khatu",Social,1933
Turki Sher,J. J. Madan,"Rose, Rajkumari, Sorabji Keravala, Rawidan, A. R. Kabuli, Kakajani Panthki",Costume,1933
Vikram Charitra,Harshadrai Mehta,"Gauhar Karnataki, Amritlal Nagar, Shivrani Ghosh, Bhim, Baburao Apte, Madhav Kale, Dulari, Himmatlal",Costume,1933
